Path,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Label
"[u'/opt/NVD/NVD_func/1/CVE-2004-1151/CVE_2004_1151_PATCHED_sys32_ni_syscall.c']
","2
","0
","0
","0
","1
","0
","1
","3
","3
","10
","0
","1
","1
","1
","5
",0
"[u'/opt/NVD/NVD_func/1/CVE-2004-1151/CVE_2004_1151_VULN_sys32_ni_syscall.c']
","2
","0
","0
","0
","1
","0
","1
","2
","2
","10
","0
","1
","1
","1
","5
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-0146/CVE_2005_0146_PATCHED_nsTextEditorMouseListener__MouseClick.c']
","46
","0
","0
","0
","1
","0
","14
","13
","13
","22
","7
","4
","13
","3
","27
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-0146/CVE_2005_0146_VULN_nsTextEditorMouseListener__MouseClick.c']
","46
","0
","0
","0
","1
","0
","14
","12
","12
","19
","7
","4
","13
","3
","22
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-2492/CVE_2005_2492_PATCHED_raw_probe_proto_opt.c']
","23
","1
","0
","1
","2
","0
","9
","11
","11
","49
","6
","4
","10
","3
","15
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-2492/CVE_2005_2492_PATCHED_rawv6_probe_proto_opt.c']
","23
","1
","0
","1
","2
","0
","9
","11
","11
","49
","6
","4
","10
","3
","15
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-2492/CVE_2005_2492_VULN_raw_probe_proto_opt.c']
","23
","1
","0
","1
","2
","0
","9
","11
","11
","49
","6
","4
","10
","3
","15
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-2492/CVE_2005_2492_VULN_rawv6_probe_proto_opt.c']
","23
","1
","0
","1
","2
","0
","9
","11
","11
","49
","6
","4
","10
","3
","15
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-2617/CVE_2005_2617_PATCHED_syscall32_setup_pages.c']
","4
","0
","0
","0
","2
","0
","3
","14
","14
","43
","0
","1
","3
","2
","6
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-2617/CVE_2005_2617_VULN_syscall32_setup_pages.c']
","3
","0
","0
","0
","2
","0
","2
","13
","13
","41
","0
","1
","2
","1
","3
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-2800/CVE_2005_2800_PATCHED_dev_seq_next.c']
","1
","0
","0
","0
","3
","0
","0
","4
","4
","38
","0
","1
","0
","1
","3
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-2800/CVE_2005_2800_PATCHED_dev_seq_start.c']
","4
","0
","0
","0
","2
","0
","3
","5
","5
","44
","0
","1
","3
","2
","6
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-2800/CVE_2005_2800_VULN_dev_seq_next.c']
","1
","0
","0
","0
","3
","0
","0
","3
","3
","38
","0
","1
","0
","1
","3
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-2800/CVE_2005_2800_VULN_dev_seq_start.c']
","4
","0
","0
","0
","2
","0
","3
","4
","4
","42
","0
","1
","3
","2
","6
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3181/CVE_2005_3181_PATCHED_open_namei.c']
","108
","0
","0
","0
","4
","0
","25
","55
","76
","81
","4
","2
","24
","7
","44
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3181/CVE_2005_3181_VULN_open_namei.c']
","108
","0
","0
","0
","4
","0
","25
","55
","76
","81
","4
","2
","24
","7
","44
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3356/CVE_2005_3356_PATCHED_do_create.c']
","6
","0
","0
","0
","5
","0
","4
","3
","3
","25
","2
","2
","4
","2
","5
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3356/CVE_2005_3356_PATCHED_do_open.c']
","3
","0
","0
","0
","2
","0
","2
","1
","1
","18
","0
","1
","2
","2
","13
",0
